gender,parental_education,test_prep_course,math_score,reading_score,writing_score
male,bachelor's degree,completed,70,75,74
male,associate's degree,completed,98,87,90
male,some college,none,70,63,58
male,associate's degree,none,67,57,53
female,high school,none,57,58,57
male,some college,completed,85,81,85
male,some high school,completed,77,68,69
male,master's degree,completed,72,66,72
female,master's degree,none,78,91,96
male,high school,none,81,66,64
male,some high school,completed,61,62,61
female,high school,none,58,68,61
female,associate's degree,none,54,61,58
male,high school,none,82,82,80
female,some college,none,49,58,60
male,some high school,completed,49,50,52
female,high school,completed,57,75,73
male,high school,none,94,73,71
female,some college,completed,75,77,83
female,some high school,none,74,74,72
male,high school,completed,58,52,54
female,some college,none,62,69,69
male,associate's degree,none,72,57,62
male,some college,none,84,87,81
female,master's degree,none,92,100,100
female,high school,none,45,63,59
male,high school,none,75,81,71
female,some college,none,56,58,64
female,some high school,none,48,54,53
female,associate's degree,none,100,100,100
female,some high school,completed,65,76,75
male,some college,none,72,57,58
female,some college,none,62,70,72
male,some high school,completed,66,68,64
male,some college,none,63,63,60
female,associate's degree,none,68,76,67
female,bachelor's degree,none,75,84,80
female,bachelor's degree,none,89,100,100
male,some high school,completed,78,72,69
female,high school,completed,53,50,60
female,some college,none,49,65,61
female,some college,none,54,63,67
female,some college,completed,64,82,77
male,some college,completed,60,62,60
male,associate's degree,none,62,65,58
male,high school,completed,55,41,48
female,associate's degree,none,91,95,94
female,high school,none,8,24,23
male,some high school,none,81,78,78
male,some high school,completed,79,85,86
female,some college,completed,78,87,91
female,some high school,none,74,75,82
male,high school,none,57,51,54
female,associate's degree,none,40,59,51
male,some high school,completed,81,75,76
female,some high school,none,44,45,45
female,some college,completed,67,86,83
male,high school,completed,86,81,75
female,some high school,completed,65,82,78
female,associate's degree,none,55,76,76
female,bachelor's degree,none,62,72,74
male,high school,none,63,63,62
female,master's degree,completed,88,99,95
male,high school,none,62,55,55
female,high school,completed,59,71,65
female,some college,completed,68,78,77
female,some college,none,77,86,86
