,Area,Rooms,Yard,Floors,Owners,Year,Basement,Attic,Garage,Storage,Guest,Price
2337,49421,26,0,10,7,2020,8763,7775,746,0,4,4943342.0
2338,55529,15,1,84,3,2008,6197,7110,931,1,6,5558926.8
2339,43547,84,0,12,1,2016,5388,327,267,1,2,4358059.6
2340,28554,21,0,45,4,2012,4742,6210,155,1,3,2856686.2
2341,85341,52,1,36,3,2004,8479,7865,884,1,4,8538869.4
2342,60826,54,1,30,2,2016,8428,5008,296,0,0,6087968.6
2343,1863,16,1,22,5,2010,2578,4996,490,0,0,190783.0
2344,59476,59,1,41,2,2018,6291,6887,800,1,10,5950982.8
2345,85493,67,1,11,7,2013,1747,5768,758,1,10,8557738.3
2346,5808,56,0,16,5,2014,3004,254,797,1,10,582907.4
2347,50673,69,1,5,3,2015,6732,9177,974,1,6,5076210.5
2348,62802,20,0,53,8,2020,991,1639,866,1,1,6283765.0
2349,67977,32,1,22,5,2009,3897,8533,937,0,4,6803875.9
2350,61217,43,1,65,2,2015,3710,6934,905,0,5,6134485.5
2351,40207,90,1,48,1,2018,2099,9507,778,1,4,4029373.8
2352,69142,16,0,63,7,2005,8568,7964,340,0,1,6916927.5
2353,80596,84,0,74,2,1999,2388,2017,984,1,8,8065721.9
2354,54473,9,1,40,3,2015,4560,8125,835,0,4,5452279.5
2355,51271,33,1,90,7,1993,5684,6234,686,0,8,5139928.3
2356,14809,58,0,28,10,2015,5452,7379,823,0,1,1486480.5
2357,59144,53,1,36,7,2020,5313,4161,130,1,8,5922786.0
2358,7791,21,1,17,10,1998,5524,6452,780,1,10,785517.8
2359,54266,54,0,5,4,1997,9620,6200,601,1,0,5427669.7
2360,59547,97,0,84,2,2016,2680,7716,946,0,3,5967994.6
2361,32813,92,1,3,1,1990,9189,6513,618,1,8,3286268.0
2362,34154,100,0,89,2,1998,308,4964,538,1,1,3423970.8
2363,50093,28,0,52,7,2001,9193,4837,413,0,0,5014755.1
2364,57133,23,1,5,8,2019,4136,4331,469,1,3,5718350.9
2365,72829,91,0,63,4,2020,7696,6450,417,0,8,7287180.0
2366,44461,91,1,24,6,2015,6427,9315,532,1,9,4454468.5
2367,81789,84,1,28,8,1995,2452,9006,780,1,4,8184845.5
2368,87821,14,1,59,7,2004,3079,4575,776,1,1,8788809.4
2369,38704,27,1,65,1,1998,4998,2899,960,1,5,3882049.8
2370,50478,34,0,11,8,2015,5532,7821,711,1,6,5048822.5
2371,72170,33,0,86,7,2020,1139,760,627,0,5,7229974.0
2372,42770,9,0,42,9,2002,2424,9663,896,1,7,4281356.2
2373,2226,73,1,4,5,2000,4784,3327,711,1,3,224310.0
2374,73741,14,0,36,6,2007,5012,8914,314,1,7,7377791.7
2375,55785,82,1,91,5,2010,1954,4648,632,0,10,5590650.0
2376,53812,56,0,61,10,1999,4090,1986,976,0,8,5390255.9
2377,70492,3,0,48,10,2019,7131,9518,676,0,5,7054127.9
2378,70577,22,0,88,9,2005,8860,3446,128,1,5,7064452.5
2379,37879,52,1,95,7,2004,3443,3268,851,0,7,3804577.4
2380,36559,78,0,47,9,2007,3961,4825,325,0,3,3658559.7
2381,97087,98,1,38,2,2008,6678,6415,719,1,9,9716102.8
2382,62816,59,1,56,6,2010,7894,8574,116,0,9,6295641.0
2383,54843,45,0,16,2,2015,8934,5916,703,1,2,5486701.5
2384,79853,45,0,17,3,1994,5601,4130,975,0,10,7987746.4
2385,23119,1,1,14,2,2004,4103,3272,410,1,7,2316639.4
2386,10320,55,1,43,2,2002,1545,2211,692,0,5,1038005.2
2387,17353,2,0,77,1,1993,1509,8685,628,0,2,1740330.3
2388,73196,19,0,48,5,2011,7389,5683,114,1,2,7325901.1
2389,83934,54,1,31,3,2001,555,3766,999,0,8,8400357.1
2390,99177,51,1,57,2,2004,9729,6362,403,1,9,9926523.4
2391,84466,92,1,73,10,2011,6674,2008,986,0,4,8456570.1
2392,50619,37,1,33,10,2019,9207,5856,314,0,10,5071031.9
2393,76541,99,1,4,9,2000,1272,6984,166,1,1,7656647.0
2394,64105,57,0,96,6,1991,4995,1071,462,1,3,6419376.1
2395,39786,47,0,55,3,2021,5675,9252,677,1,6,3984007.1
2396,52370,73,0,23,8,1997,9018,166,625,1,5,5242857.7
2397,21722,58,0,25,8,2020,9978,9816,951,1,5,2173827.0
2398,62686,39,0,71,2,1994,4240,1161,759,1,8,6272659.4
2399,64087,83,1,29,4,2010,8720,5055,404,0,6,6414075.0
2400,25972,7,1,11,2,2021,641,8918,838,0,7,2600292.1
2401,10830,28,0,65,8,2006,5829,9328,439,0,1,1093719.6
2402,82065,96,1,90,10,2012,8017,5993,767,0,8,8217209.2
2403,66972,19,0,52,3,2009,7292,740,967,0,9,6701382.9
2404,96871,55,0,77,8,1996,7309,4305,122,1,4,9690783.6
2405,52554,82,0,58,6,2011,180,9919,363,0,4,5260061.1
2406,76017,90,0,81,3,2005,810,3960,877,0,0,7603441.5
2407,76097,46,0,51,3,2020,3337,7250,337,0,1,7616002.0
2408,99254,85,1,77,10,2004,8706,8189,690,1,3,9931071.4
2409,26952,86,0,54,10,2006,3036,9694,477,0,3,2698982.6
2410,36968,27,1,92,7,2002,2785,3673,381,1,8,3711515.2
2411,71610,90,1,100,2,1990,4871,4712,745,1,0,7169819.0
2412,50252,4,1,92,10,2014,662,3607,278,1,10,5033342.4
2413,78254,61,0,71,9,1990,6303,2241,422,0,2,7831345.0
2414,11933,49,1,21,3,2005,8801,7229,140,0,6,1201065.5
2415,58069,91,1,55,7,2004,4432,6510,671,0,6,5819120.4
2416,47580,45,0,90,7,1995,2195,6708,441,1,2,4768584.5
2417,45747,84,0,40,4,1992,7612,4305,535,1,9,4579479.2
2418,38515,51,1,94,1,2003,5275,4395,596,1,7,3865010.3
2419,91204,91,1,10,2,1990,1974,1536,994,1,2,9127495.0
2420,38425,20,1,88,10,2015,7704,5201,837,0,4,3858124.5
2421,20537,98,0,44,1,1994,7671,1046,610,0,6,2056267.4
2422,67462,52,1,98,3,2008,5585,2304,655,0,2,6754742.8
2423,32282,85,1,9,7,2008,8348,7414,944,1,6,3231758.8
2424,63380,30,1,53,7,1994,495,5633,687,0,2,6341950.4
2425,49322,8,0,97,3,2017,3508,2918,600,0,2,4940658.7
2426,72935,57,0,27,4,2012,1099,1923,113,0,8,7298657.2
2427,34410,29,1,28,2,2015,1461,9169,568,0,3,3445264.5
2428,40790,69,0,54,8,2002,9799,5122,745,1,7,4080340.2
2429,65260,34,1,83,10,1996,1777,6854,683,0,7,6534195.6
2430,43189,41,0,39,6,1990,7762,4326,928,1,5,4326117.0
2431,40416,14,1,92,9,1990,289,9562,895,1,0,4050909.0
2432,31202,12,0,37,4,1993,1116,6511,368,1,0,3121833.3
2433,72688,74,1,45,6,2019,1941,5062,378,1,6,7275937.9
2434,27119,77,0,25,1,2000,380,3003,647,0,0,2717313.0
2435,24916,36,0,55,3,2010,2931,9731,523,1,9,2496771.0
2436,88545,38,0,8,4,1993,5715,4607,586,1,0,8860039.3
2437,92102,30,0,88,4,1999,6612,6573,340,0,7,9213411.9
2438,90204,18,0,8,8,2017,4559,2288,889,1,8,9025058.7
2439,97867,19,1,66,4,1997,3965,7291,805,0,3,9799102.7
2440,70197,56,0,52,6,2000,3200,9781,177,0,10,7027634.0
2441,60153,39,0,46,8,1992,5712,7364,207,1,5,6018727.2
2442,71824,30,0,82,10,1997,543,487,901,0,1,7190229.7
2443,96478,98,1,95,7,1993,2204,8880,847,1,0,9661311.3
2444,93756,43,0,14,8,2001,5339,8169,627,1,0,9378616.1
2445,99170,33,1,85,3,2014,8170,7536,728,0,9,9924309.4
2446,11778,42,0,95,2,2001,2254,5534,833,1,5,1185823.1
2447,91109,59,0,46,7,2005,1221,6533,930,0,5,9113552.5
2448,71985,49,0,83,10,2016,5614,5419,568,1,0,7207321.6
2449,10978,24,1,79,4,1998,5786,7814,427,1,2,1108254.8
2450,24086,30,0,3,10,2014,8094,7542,907,1,10,2410817.4
2451,92058,66,0,44,6,1997,9933,5348,839,1,0,9212309.7
2452,32017,81,0,26,10,2010,1912,9275,863,0,1,3205104.0
2453,36564,51,0,5,5,2010,2823,8934,220,1,10,3657736.0
2454,96719,96,1,73,3,2020,9415,7587,928,1,8,9685049.0
2455,79851,83,1,38,3,1998,3647,2505,997,0,9,7995217.8
2456,79673,66,0,99,7,1992,6484,3203,906,1,4,7981527.2
2457,40200,51,1,69,5,2006,8674,3793,386,0,0,4028239.6
2458,54936,64,0,94,8,2002,4655,7635,352,0,3,5502510.2
2459,65975,54,1,63,6,1992,6457,132,785,0,1,6603622.2
2460,66713,10,0,25,10,2006,7410,9851,399,1,1,6673050.6
2461,80415,21,1,69,6,2007,4326,6976,360,1,2,8053263.7
2462,48057,4,1,50,2,2011,6503,8599,121,1,8,4811373.1
2463,45140,28,0,59,8,1993,7134,1845,319,1,8,4520881.3
2464,70896,81,0,96,6,1990,497,2114,869,0,3,7098171.0
2465,20492,15,1,77,4,1993,833,5271,475,0,9,2062026.3
2466,82196,64,1,28,1,1990,5632,1470,167,0,4,8227719.0
2467,83530,25,0,55,2,1999,9247,4060,394,0,0,8358735.9
2468,57838,32,1,74,4,2002,4170,2913,286,0,4,5793020.2
2469,12632,47,1,94,1,2012,2646,9310,633,1,9,1271361.2
2470,13254,91,1,58,1,2014,1937,8763,506,1,9,1333885.4
2471,90078,66,1,36,7,2004,6583,6632,310,0,1,9016393.4
2472,54765,75,0,12,1,2013,6543,9818,101,0,0,5478329.3
2473,4596,97,1,96,5,2014,3971,559,394,0,8,465858.4
2474,19575,90,0,75,9,2013,4566,7465,306,1,9,1959201.3
2475,77661,24,1,56,5,2013,6681,8439,713,0,2,7775177.3
2476,5239,100,1,52,4,1993,3509,3333,421,1,8,529032.3
2477,65630,31,1,28,2,2020,6187,3553,290,0,10,6566530.0
2478,62478,45,0,33,9,2000,736,7730,980,1,2,6249752.0
2479,63434,99,0,51,3,2003,524,2398,556,0,4,6351082.3
2480,16003,28,1,32,3,1995,6293,398,171,1,10,1606578.5
2481,49942,64,1,57,3,1990,4558,9768,585,0,6,5001819.0
2482,1405,96,1,16,4,1998,6851,481,538,0,8,148112.8
2483,15232,4,1,100,6,1994,3372,1684,816,1,8,1528469.4
2484,96577,68,1,88,9,2010,9459,3552,395,0,0,9662991.0
2485,11986,69,1,75,1,2001,2322,3330,555,0,9,1204666.1
2486,41392,20,1,61,9,1991,1803,4452,491,0,2,4151181.1
2487,57118,31,1,49,5,2018,5712,6881,353,0,0,5718957.8
2488,74880,34,1,53,6,2003,4015,8403,425,0,10,7497502.3
2489,50989,97,0,61,7,2012,9441,8189,326,1,5,5105808.2
2490,65752,15,0,76,4,2020,2809,8094,724,0,3,6583468.0
2491,49786,71,0,32,9,2004,5478,4134,563,0,1,4984145.4
2492,96381,73,1,44,3,1997,4337,3782,817,0,3,9642408.7
2493,53097,98,1,77,5,2005,428,3373,737,0,6,5315665.5
2494,50846,44,1,79,1,2001,2903,6723,660,1,0,5091984.1
2495,61856,17,1,97,1,1999,8735,4950,887,1,8,6199110.9
2496,2685,31,1,35,1,2010,5553,5076,188,0,9,274819.0
2497,24021,4,1,4,7,1997,804,6439,354,1,9,2407456.7
2498,72068,71,1,95,6,1992,3751,2724,991,0,8,7221629.2
2499,74729,92,1,59,9,2000,5584,3958,274,1,1,7486919.0
2500,45242,27,0,56,9,2003,529,4812,120,1,9,4527632.3
2501,350,65,0,40,7,2020,9872,5678,345,0,3,37972.0
2502,42179,11,0,40,3,1999,9985,309,442,1,7,4221359.9
2503,71973,32,0,9,3,2012,2596,3306,575,1,1,7201696.2
2504,19237,62,0,89,3,2012,4135,613,888,1,8,1931115.2
2505,98728,55,1,13,3,2011,4040,9037,538,0,10,9880299.1
2506,38044,67,1,8,9,2007,5926,8903,944,0,1,3812193.7
2507,20862,4,1,62,6,2007,1330,3416,543,0,3,2098549.7
2508,72815,54,0,37,9,2015,9419,4871,376,1,8,7287721.5
2509,72510,70,1,6,7,2021,6583,9471,788,1,3,7255056.1
2510,51474,68,1,27,1,2000,8908,4796,999,0,3,5157614.0
2511,46945,63,1,50,3,1993,9900,6468,652,0,9,4702996.3
2512,13714,36,1,3,1,2005,8417,2147,704,1,2,1373673.5
2513,29749,97,0,14,2,2003,8565,5702,717,1,5,2981571.3
2514,80167,68,1,31,2,2018,4641,5093,748,1,8,8021140.8
2515,63829,29,0,52,6,2021,1612,3712,535,1,8,6388502.1
2516,57372,33,1,87,5,1998,3125,7179,630,1,1,5748423.8
2517,46195,77,0,67,9,1990,4603,2901,678,0,8,4622073.0
2518,55049,8,1,30,3,2005,4434,6989,468,0,7,5509865.5
2519,8256,7,1,59,1,2005,1713,5342,510,1,1,831710.5
2520,68311,38,1,26,8,2005,635,662,746,1,3,6839967.5
2521,89885,93,0,40,3,2004,6599,5276,487,1,7,8992850.4
2522,38535,59,0,78,7,2015,1175,430,103,0,8,3855421.5
2523,18109,31,1,26,3,2000,574,5737,774,0,0,1820065.0
2524,18487,6,0,89,2,2009,5262,9421,228,1,3,1856865.9
2525,42276,4,0,100,3,2006,9884,1788,586,0,4,4229850.6
2526,48344,34,0,20,10,2004,1072,4801,564,1,6,4836340.4
2527,68573,45,1,97,4,2014,1709,1714,691,1,2,6861756.4
2528,43577,64,1,39,2,1993,6517,8852,298,1,9,4366538.3
2529,8584,46,1,98,6,1999,9855,1400,615,1,1,873709.9
2530,56240,94,0,45,5,2007,8495,2980,727,0,5,5627160.7
2531,44976,88,0,70,3,1997,9885,7473,526,1,2,4504969.7
2532,53653,21,1,1,6,1990,4507,1289,412,1,6,5371906.0
2533,52384,39,0,95,9,2012,3525,8425,230,1,2,5247146.2
2534,54907,90,1,65,5,2003,7442,1071,874,0,8,5495099.3
2535,92106,87,1,86,6,2014,8205,1936,621,1,4,9224115.4
2536,53404,98,0,42,4,1999,802,2235,225,1,3,5343461.9
2537,3033,98,1,74,3,1997,8290,1581,200,0,9,312271.7
2538,78992,42,1,68,10,1996,2628,86,243,1,10,7903591.6
2539,41726,97,0,25,3,2016,8887,5255,131,0,8,4174598.6
2540,30674,89,0,57,5,2010,3949,5825,489,0,3,3072660.0
2541,982,83,0,96,8,1990,224,6186,350,0,1,101341.0
2542,86160,75,0,7,4,2004,5221,2931,168,1,2,8618638.4
2543,5389,42,0,25,8,2017,2030,6104,939,0,8,543793.7
2544,79114,18,1,70,5,2004,6519,1701,995,0,10,7923653.4
2545,43042,42,0,93,6,2004,4004,3320,393,1,4,4311510.4
2546,36195,8,1,76,7,2000,255,7751,648,0,0,3634512.0
2547,38500,35,1,76,2,1994,9151,3339,723,0,7,3859493.4
2548,12508,52,1,53,7,1991,3399,6594,431,0,4,1258036.1
2549,94799,74,1,24,6,2012,8512,7401,190,0,0,9484566.2
2550,13192,18,0,77,6,2008,3588,9552,685,1,1,1327004.8
2551,57369,83,0,34,10,2017,6725,1157,685,1,9,5740996.7
2552,27474,58,1,13,4,1997,9588,3208,211,0,5,2752632.7
2553,60056,7,1,30,6,2010,6640,5455,831,0,4,6014878.0
2554,63977,36,1,50,10,1995,8802,7007,249,0,10,6407296.5
2555,4087,23,0,22,10,2012,1660,1157,433,1,8,414319.2
2556,99474,78,0,81,1,2016,4360,236,852,0,10,9952430.6
2557,59085,88,0,49,8,2014,349,4062,101,1,4,5915775.4
2558,11877,86,0,9,3,2019,14,1852,499,0,1,1189428.9
2559,48659,84,1,46,1,2009,2291,8732,933,0,2,4872302.9
2560,47144,24,1,94,4,1992,3264,4594,601,0,10,4723888.2
2561,69764,94,1,73,6,2008,8607,2326,874,0,9,6986164.8
2562,40116,21,0,42,5,1997,1194,3718,722,1,3,4015069.7
2563,46292,8,1,46,10,1992,6387,6081,425,0,10,4635389.2
2564,77359,88,1,71,3,1990,7247,2999,199,1,6,7744185.0
2565,32455,72,0,17,4,2017,2256,1119,939,1,0,3247206.7
2566,34395,24,1,7,5,1999,1417,1651,449,0,0,3442821.9
2567,4922,60,1,8,4,2019,8694,4792,453,1,9,498519.9
2568,60515,47,1,34,6,2018,2271,154,710,0,5,6061337.8
2569,36842,2,0,19,5,1990,9049,2203,910,1,6,3685346.0
2570,21669,24,0,65,5,2005,1700,8911,419,1,8,2171545.5
2571,37956,46,0,50,3,2016,7947,2803,576,0,10,3799201.6
2572,19745,72,0,28,2,2003,5194,6960,934,1,1,1977004.3
2573,22822,15,0,55,9,2010,5197,8415,590,1,7,2285071.0
2574,75339,16,1,55,9,2015,6978,699,590,1,6,7545974.5
2575,45038,41,0,46,9,2020,4792,7709,982,0,3,4507412.0
2576,17595,96,1,99,10,2021,4123,8800,253,0,6,1770417.1
2577,55518,93,0,70,4,1993,8964,2559,471,0,8,5559599.3
2578,77032,67,1,68,1,2020,3925,9095,725,1,3,7708083.0
2579,61347,33,0,19,2,2021,5213,5286,876,1,10,6139920.1
2580,3418,38,1,30,3,1993,5115,8626,915,0,8,347934.3
2581,29233,22,1,5,7,2007,1527,1522,103,0,3,2927647.7
2582,26193,70,0,7,5,2013,1033,7100,421,0,1,2620565.3
2583,45781,38,0,18,2,2014,927,1553,830,0,8,4584350.4
2584,77465,54,1,42,1,1995,6722,339,286,1,0,7753128.5
2585,76357,72,1,97,7,2002,5899,7571,235,0,5,7641043.2
2586,54528,69,1,41,4,2017,3501,8339,231,0,5,5465714.7
2587,71930,54,1,87,5,2005,4619,9472,949,0,0,7208762.5
2588,93803,75,0,38,10,2000,2369,9692,214,1,4,9387508.0
2589,50262,64,0,55,6,2003,8015,7331,209,1,8,5034452.3
2590,12387,51,1,55,4,2017,1393,6308,789,0,5,1242765.7
2591,42904,4,1,70,7,2005,4680,4088,699,0,6,4302680.5
2592,31421,23,0,28,2,2005,9438,8360,357,0,8,3148839.5
2593,16894,96,0,88,1,2011,8415,4812,301,0,5,1697483.1
2594,49044,43,1,91,2,2005,7430,2901,437,1,6,4914350.5
2595,82950,100,1,46,10,1994,9187,4327,847,0,7,8301059.4
2596,96654,43,1,34,7,2016,130,4842,680,1,0,9672602.6
2597,23210,17,1,52,8,2014,9776,6010,255,1,8,2329090.4
2598,2789,20,0,21,6,1991,5157,2004,872,0,9,281030.1
2599,64720,75,1,18,9,1990,5702,8093,453,1,7,6478034.0
2600,22459,63,0,14,8,1991,8836,6953,727,1,9,2246811.1
2601,96791,17,0,63,7,2009,1240,3504,383,1,8,9680369.9
2602,23608,21,0,31,3,1995,6410,6388,720,0,5,2364456.5
2603,13688,9,0,19,4,1991,6489,8277,117,0,10,1369377.1
2604,72070,75,0,98,3,1999,2666,130,316,0,2,7220918.9
2605,86607,8,1,98,3,2017,5389,1169,381,0,0,8669030.7
2606,95817,97,0,25,5,1995,6697,8898,840,1,7,9588183.5
2607,3506,14,0,51,2,1991,4712,2468,310,0,8,356564.1
2608,37448,19,1,67,7,1997,1605,6205,680,1,0,3751951.7
2609,36988,97,0,87,9,2007,7454,1792,546,1,2,3705539.7
2610,998,21,0,90,5,2008,8604,482,348,0,9,104702.8
2611,9493,57,0,27,1,2009,9660,5182,241,0,7,951804.9
2612,72370,81,0,89,10,2003,4618,6540,856,1,10,7242934.3
2613,73049,92,0,65,3,2005,7064,2714,568,1,5,7306250.5
2614,91370,11,1,6,9,2009,2687,3960,565,1,8,9146210.9
2615,55045,75,0,30,4,2004,5733,8521,464,0,9,5511210.4
2616,17989,9,1,11,5,2017,5679,2420,172,1,3,1802630.7
2617,53749,61,1,1,9,1997,2336,9857,969,0,0,5381679.7
2618,32694,26,0,60,9,2009,1421,9858,635,0,6,3274621.9
2619,24261,91,1,44,7,2003,7476,2074,678,0,5,2437565.3
2620,27394,93,1,66,5,2012,9345,6623,959,1,7,2754889.2
2621,99432,56,1,36,4,2015,6843,853,591,1,3,9947325.5
2622,67229,17,0,18,10,2016,7856,4026,754,0,6,6725201.6
2623,89186,28,0,5,1,2021,5759,4724,283,1,4,8919497.1
2624,93313,100,1,66,10,2018,2702,6408,809,0,10,9338654.8
2625,53671,16,1,95,10,2017,5731,5941,139,0,3,5378022.7
2626,62318,43,1,29,5,2007,4844,7082,281,0,10,6235136.7
2627,79422,52,1,4,3,1995,2686,4901,305,0,0,7952304.5
2628,11093,5,0,71,2,1997,8059,136,287,1,0,1117189.7
2629,23321,35,1,37,2,1991,7618,1182,253,0,5,2335697.1
2630,19198,90,0,46,8,2003,2995,9882,918,1,10,1921930.3
2631,78216,45,1,89,6,2010,2643,4018,351,0,6,7832429.0
2632,14750,30,1,12,9,2014,5905,6651,643,1,8,1478391.4
2633,61098,27,0,48,8,2008,2276,1500,459,0,3,6115352.8
2634,63111,36,1,89,9,1996,7826,1247,630,0,0,6314137.6
2635,43250,2,0,55,7,2019,6059,730,851,1,7,4334802.9
2636,88168,94,1,57,2,2020,973,5640,953,1,9,8825815.0
2637,37506,88,0,94,7,2016,4468,406,172,0,7,3753651.6
2638,64269,77,0,26,2,2000,5225,47,606,1,9,6428786.0
2639,7490,71,1,3,10,1996,4328,6142,121,0,6,753009.6
2640,97121,98,0,100,8,2012,5700,6810,956,1,1,9717727.2
2641,14185,3,1,94,7,2002,5155,5381,799,1,3,1422531.2
2642,86682,12,0,80,4,1996,2126,8586,654,0,8,8674009.6
2643,34282,24,1,94,9,1991,7021,8695,971,1,3,3440156.1
2644,89022,48,1,44,10,2004,4759,5470,123,0,1,8904794.4
2645,91543,6,1,77,9,2013,1902,9331,211,1,0,9166876.3
2646,54993,22,1,70,2,2017,4944,3988,360,0,5,5503799.7
2647,85795,3,1,22,4,1990,8852,5277,915,0,7,8587486.0
2648,64079,93,0,50,8,2019,7255,2140,388,1,8,6412901.9
2649,80116,85,0,14,7,2000,7964,2348,402,1,8,8015692.0
2650,52866,23,0,40,8,2004,933,8316,384,0,4,5293836.4
2651,68375,55,0,74,2,1994,3854,960,168,1,1,6838539.4
2652,55802,91,1,32,7,2011,1112,1648,459,0,4,5588172.1
2653,62117,80,0,3,8,1995,5600,2815,426,0,3,6212439.5
2654,50890,49,0,90,4,2020,180,1761,117,1,5,5094287.0
2655,44248,24,1,28,4,2018,2192,8309,666,1,6,4431469.8
2656,76326,2,0,83,4,2004,4050,2048,248,0,0,7635872.4
2657,56778,85,0,67,6,2005,3260,3275,511,0,9,5679689.5
2658,80225,100,0,67,6,2002,656,971,932,1,6,8025744.2
2659,69320,22,1,45,6,2017,3636,6066,476,1,0,6939825.7
2660,24962,41,0,6,1,2014,1251,9789,260,0,2,2497425.4
2661,91964,56,1,93,7,2013,6032,3230,950,1,0,9209295.3
2662,40787,73,0,88,9,2011,359,8099,107,1,4,4091282.1
2663,28053,21,1,22,6,1991,9531,2546,574,1,4,2815718.1
2664,90172,34,0,65,2,1999,7383,143,623,0,3,9023549.9
2665,816,7,0,48,3,2003,3587,8088,726,0,0,87585.3
2666,751,2,1,71,6,1992,1252,7255,631,1,0,82123.2
2667,87627,33,0,89,9,1999,2149,2956,146,1,4,8769190.9
2668,16786,93,1,36,10,2007,802,5175,262,0,10,1684521.7
2669,74832,60,1,69,3,1992,3427,5598,209,1,10,7492714.2
2670,12920,1,0,83,9,2016,5166,5620,948,1,3,1305319.6
2671,54879,79,1,6,10,1999,7739,6621,818,1,2,5492312.9
2672,62083,96,0,81,5,1994,7667,4589,392,0,1,6218129.4
2673,96814,90,0,9,7,1999,2678,1021,481,0,7,9687090.9
2674,38301,66,1,53,8,2004,2522,5594,336,0,1,3841237.4
2675,78947,86,0,94,1,1992,1965,1912,698,0,6,7900369.2
2676,44836,85,0,88,10,2000,8687,3522,986,0,3,4493247.0
2677,5488,56,1,35,3,1992,6778,9131,442,0,4,554027.2
2678,99886,83,1,37,8,2003,4600,7789,210,0,2,9999687.3
2679,57072,87,0,32,6,2013,3694,7923,317,1,1,5710445.3
2680,93684,24,1,35,2,2016,6716,2267,291,1,8,9373516.6
2681,96978,75,0,68,1,1991,5754,8633,497,0,9,9703653.1
2682,3624,80,1,1,4,1999,7887,9074,702,0,3,365077.9
2683,78000,50,0,25,5,2000,6386,9085,978,0,6,7801225.0
2684,25972,7,1,98,8,1996,5998,3426,815,1,4,2605855.6
2685,93922,54,0,89,8,2011,9492,8282,998,0,3,9403863.1
2686,61039,27,1,69,1,1995,4909,3150,666,1,6,6114260.5
2687,84404,70,1,98,8,2001,9795,3149,325,1,2,8456155.1
2688,73622,7,1,54,1,2020,4412,3603,417,0,9,7365758.0
2689,81012,92,1,7,3,2012,6946,4122,585,1,7,8104126.2
2690,73687,25,1,49,3,2001,7113,646,181,1,2,7376903.1
2691,93952,63,1,10,2,2015,8302,4408,910,0,2,9403674.5
2692,82120,77,0,62,1,2001,9335,9216,170,1,10,8216635.1
2693,2351,69,1,51,1,2018,4104,4728,723,0,8,239411.8
2694,38132,73,1,16,2,1996,7592,4645,112,0,3,3818556.6
2695,42808,33,1,67,2,1996,8536,3106,855,0,5,4290930.6
2696,70722,57,0,55,7,2016,9738,4155,454,1,5,7076626.6
2697,46134,71,1,23,6,2004,7647,3828,666,1,8,4624090.4
2698,92044,60,0,28,3,2001,4700,8006,754,1,10,9210929.1
2699,12583,62,1,79,5,2001,2683,1704,519,0,4,1267192.1
2700,38048,67,0,74,9,2010,4814,6717,346,0,5,3808313.0
2701,48546,64,1,60,1,1993,782,8106,547,1,3,4860634.3
2702,94228,34,0,62,10,1994,815,6389,836,0,6,9430661.4
2703,55825,69,1,25,1,2001,441,771,905,0,4,5585288.1
2704,7773,100,1,85,1,2007,5057,1317,391,0,8,792566.7
2705,24180,68,1,93,7,1991,1857,4612,463,0,8,2425595.1
2706,30502,91,1,77,6,1998,9151,9350,146,0,9,3062069.8
2707,30346,25,1,80,5,2000,2677,142,114,1,2,3047721.0
2708,20311,23,1,87,1,2017,1558,2913,931,0,7,2039188.7
2709,70936,60,0,21,3,2006,8370,916,884,0,10,7094370.6
2710,56416,41,1,99,7,2021,3804,5895,243,0,6,5653890.1
2711,26073,59,0,23,10,2006,1018,1776,420,1,8,2612190.6
2712,79182,37,1,9,3,1993,9600,8691,428,0,7,7922295.3
2713,39627,29,0,44,2,2008,2974,9263,982,0,6,3964708.8
2714,97677,51,1,35,2,1994,4887,5498,810,0,5,9772148.4
2715,34013,84,1,95,1,2014,7960,8596,331,1,0,3411660.4
2716,55620,90,1,90,6,2002,3282,4811,470,0,4,5573469.2
2717,77421,70,0,6,10,2011,6219,7859,194,1,2,7743163.1
2718,50844,99,0,83,2,1995,7366,9496,706,1,3,5092707.5
2719,94541,78,1,67,4,2003,6902,3043,501,0,10,9460440.3
2720,10976,17,1,77,1,2001,237,7652,334,1,0,1108155.1
2721,52697,25,1,60,3,2009,8452,8433,133,1,9,5278045.9
2722,38860,27,1,70,8,1991,5171,8637,628,1,5,3894132.1
2723,98501,66,1,51,5,2002,2911,6782,520,1,4,9856475.2
2724,49300,64,0,46,9,2019,2512,5810,708,0,7,4936882.9
2725,8562,24,1,33,3,2015,5275,5429,755,0,5,860330.5
2726,51585,70,0,8,7,2010,268,1459,831,1,4,5163838.0
2727,55038,46,1,45,3,2007,9300,4032,172,0,6,5510722.7
2728,74166,35,1,16,2,1990,6208,6948,116,1,9,7423668.0
2729,43885,69,1,3,7,2010,3497,5519,424,1,6,4393918.0
2730,55391,27,0,7,1,1991,566,2845,777,0,2,5544879.1
2731,9551,27,0,33,1,1992,3816,4685,591,0,6,956658.2
2732,17655,55,0,58,1,2012,4895,8842,297,0,7,1769201.2
2733,28743,30,1,49,4,2000,2192,9484,989,0,6,2881705.0
2734,12744,56,1,4,3,2016,1453,1325,713,0,1,1279063.6
2735,34109,36,0,19,8,2003,5930,7817,628,0,7,3416596.3
2736,55971,94,0,30,10,2001,4596,5164,284,0,3,5600410.1
2737,8163,17,0,45,7,1992,5815,5817,948,0,7,825054.2
